parent,child,question,answer
مباني جديدة,توفير جودة المياة-مباني جديدة,أيهما أكثر استدامة: بناء جديد موفر للطاقة أم إعادة تأهيل مباني قائمة؟,"إعادة تأهيل المباني يقلل من استخدام الطاقة والنفايات المرتبطة بالهدم والبناء الجديد حسب ما أثبتت الدراسات
علما أن المبنى الجديد حتى لو كان موفر للطاقة، يحتاج من 10 إلى 80 عام لتعويض آثار تغير المناخ الناتجة عن بنائه.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,ما فائدة استخدام مواد محلية ( فلسطينية) و\او إقليمية؟,".تشجيع المقاولين باختيار مواد محلية الصنع تقلل الآثار البيئية الناجمة عن نقل البضائع
   كما أن دعم المنتج المحلي يساعد على تطويره مستقبلياً والدفع باتجاه الاهتمام بالمعايير البيئية الخضراء.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,ما فائدة استخدام مواد محلية ( فلسطينية) و\او إقليمية؟,".تشجيع المقاولين باختيار مواد محلية الصنع تقلل الآثار البيئية الناجمة عن نقل البضائع
   كما أن دعم المنتج المحلي يساعد على تطويره مستقبلياً والدفع باتجاه الاهتمام بالمعايير البيئية الخضراء.
"
مباني جديدة,توفير جودة المياة-مباني جديدة,كيف يمكن أن نجعل عملية اختيار المواد للبناء مستدامة؟, باختيار مواد ومنتجات التي تستخدم نسبة من المواد معادة الاستخدام خلال عملية تصنيع المنتج (recycled content)، بالإضافة إلى تشجيع المصانع على استخدام مواد معادة التدوير في عملية التصنيع لتقليل الطلب على المواد الخام وزيادة الطلب على فرز النفايات. 
مباني جديدة,توفير جودة المياة-مباني جديدة,كيف يمكن أن نجعل عملية اختيار المواد للبناء مستدامة؟, باختيار مواد ومنتجات التي تستخدم نسبة من المواد معادة الاستخدام خلال عملية تصنيع المنتج (recycled content)، بالإضافة إلى تشجيع المصانع على استخدام مواد معادة التدوير في عملية التصنيع لتقليل الطلب على المواد الخام وزيادة الطلب على فرز النفايات. 
مباني جديدة,توفير جودة المياة-مباني جديدة,ما سبب وجود مناطق ذات حرارة أعلى من غيرها خلال النهار خاصة في فصل الصيف؟,"ظاهرة الجزيرة الحرارية الحضرية ((Urban Heat Island هي ظاهرة ناتجة في الأماكن الحضرية نتيجة وجود أسطح مثل أسطح الاسفلت تعمل على امتصاص أشعة الشمس وإعادة اشعاعها لتشكل تجمع حراري ""جزيرة حرارية"" فتكون درجات الحرارة في هذه المناطق أعلى من الطبيعي. للتخفيف من هذه الظاهرة ينصح باستخدام مواد نفاذية وباللون الفاتح في أعمال الأرضيات حول المبنى وزيادة المساحات الخضراء أو على الأقل تصغير مساحات الاسفلت حول المبنى. "
مباني جديدة,تحسين صحة الافراد-مباني جديدة,ما سبب وجود مناطق ذات حرارة أعلى من غيرها خلال النهار خاصة في فصل الصيف؟,"ظاهرة الجزيرة الحرارية الحضرية ((Urban Heat Island هي ظاهرة ناتجة في الأماكن الحضرية نتيجة وجود أسطح مثل أسطح الاسفلت تعمل على امتصاص أشعة الشمس وإعادة اشعاعها لتشكل تجمع حراري ""جزيرة حرارية"" فتكون درجات الحرارة في هذه المناطق أعلى من الطبيعي. للتخفيف من هذه الظاهرة ينصح باستخدام مواد نفاذية وباللون الفاتح في أعمال الأرضيات حول المبنى وزيادة المساحات الخضراء أو على الأقل تصغير مساحات الاسفلت حول المبنى. "
مباني جديدة,تحسين صحة الافراد-مباني جديدة,"ما هي المرحلة التي يؤثر بها المبنى سلبياً على البيئة؟
","يكون للمباني تأثيرات بيئية محلية وإقليمية وعالمية في جميع مراحل حياة المبنى. يحدث بعضها أثناء استخراج وتصنيع ونقل المواد؛ وجزء آخر أثناء البناء والتشغيل؛ والجزء الأخير يحدث عند الهدم والتخلص من المباني ومخلفاتها.
"
مباني جديدة,تحسين صحة الافراد-مباني جديدة,"ما هي المرحلة التي يؤثر بها المبنى سلبياً على البيئة؟
","يكون للمباني تأثيرات بيئية محلية وإقليمية وعالمية في جميع مراحل حياة المبنى. يحدث بعضها أثناء استخراج وتصنيع ونقل المواد؛ وجزء آخر أثناء البناء والتشغيل؛ والجزء الأخير يحدث عند الهدم والتخلص من المباني ومخلفاتها.
"
مباني جديدة,تحسين صحة الافراد-مباني جديدة,كيف يمكن تقليل أثر دورة حياة المبنى على البيئة؟,بعض الأفكار لتقليل الضرر تتمثل في: ترميم المباني الحالية وإعادة تأهيلها، إعادة استخدام مكونات المبنى، وتقليل البصمة البيئية للمبنى من خلال فحص تقييم دورة الحياة (LCA)الذي يحدد أكبر عدد ممكن من هذه التأثيرات البيئية. 
مباني جديدة,تحسين صحة الافراد-مباني جديدة,كيف يمكن تقليل أثر دورة حياة المبنى على البيئة؟,بعض الأفكار لتقليل الضرر تتمثل في: ترميم المباني الحالية وإعادة تأهيلها، إعادة استخدام مكونات المبنى، وتقليل البصمة البيئية للمبنى من خلال فحص تقييم دورة الحياة (LCA)الذي يحدد أكبر عدد ممكن من هذه التأثيرات البيئية. 
مباني جديدة,تحسين صحة الافراد-مباني جديدة,كيف يمكن التعامل مع النفايات بطريقة صديقة للبيئة؟,"تعتبر النقاط التالية من أبسط أشكال التعامل الصحيح مع النفايات الصلبة في المباني بكافة أنواعها:
1.    تقليل كمية النفايات المستهلكة، وذلك بتقليل الاعتماد على المواد ذات الاستخدام الواحد (مثل الكاسات البلاستيك).
2.    الاعتماد على فرز النفايات: فرز نوعين من أنواع النفايات على الأقل (مثلا كرتون وبلاستيك أو زجاج) و\أو فرز النفايات الخطرة (بطاريات، أجهزة إلكترونية، خلايا طاقة شمسية.. الخ) و/أو نفايات عضوية.
"
مباني جديدة,تحسين صحة الافراد-مباني جديدة,كيف يمكن التعامل مع النفايات بطريقة صديقة للبيئة؟,"تعتبر النقاط التالية من أبسط أشكال التعامل الصحيح مع النفايات الصلبة في المباني بكافة أنواعها:
1.    تقليل كمية النفايات المستهلكة، وذلك بتقليل الاعتماد على المواد ذات الاستخدام الواحد (مثل الكاسات البلاستيك).
2.    الاعتماد على فرز النفايات: فرز نوعين من أنواع النفايات على الأقل (مثلا كرتون وبلاستيك أو زجاج) و\أو فرز النفايات الخطرة (بطاريات، أجهزة إلكترونية، خلايا طاقة شمسية.. الخ) و/أو نفايات عضوية.
"
مباني جديدة,توفير الطاقة-مباني جديدة,ما مصير النفايات الصلبة التي يتم التخلص منها؟,منها من يتم إعادة تدويره واستخدامه كمواد خام في منتجات جديدة (وهي نسبة قليلة)، ومعظمها يتم دفنه في مدافن خاصة تحت الأرض ومنها من يتم التخلص منه بطريقة خاطئة بوضعه في مكبات غير مخصصة تزيد من التلوث البيئي وتسبب الأمراض لسكان المنطقة. 
مباني جديدة,توفير الطاقة-مباني جديدة,ما مصير النفايات الصلبة التي يتم التخلص منها؟,منها من يتم إعادة تدويره واستخدامه كمواد خام في منتجات جديدة (وهي نسبة قليلة)، ومعظمها يتم دفنه في مدافن خاصة تحت الأرض ومنها من يتم التخلص منه بطريقة خاطئة بوضعه في مكبات غير مخصصة تزيد من التلوث البيئي وتسبب الأمراض لسكان المنطقة. 
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي نسبة النفايات التي يمكن إعادة تدويرها واستخدامها كمواد خام جديدة؟,"يشكل الورق والأغذية والزجاج والمعادن والبلاستيك - القابل لإعادة التدوير - ما يقارب من 69٪ من إجمالي النفايات الصلبة في جميع أنحاء العالم. جميعها يمكن إعادة تدويرها كمواد خام جديدة خصوصاً لبعض الصناعات.
"
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي نسبة النفايات التي يمكن إعادة تدويرها واستخدامها كمواد خام جديدة؟,"يشكل الورق والأغذية والزجاج والمعادن والبلاستيك - القابل لإعادة التدوير - ما يقارب من 69٪ من إجمالي النفايات الصلبة في جميع أنحاء العالم. جميعها يمكن إعادة تدويرها كمواد خام جديدة خصوصاً لبعض الصناعات.
"
مباني جديدة,توفير الطاقة-مباني جديدة,كيف يمكن لأصحاب المباني القائمة التعامل مع النفايات؟  , لا يزال التخلص من النفايات يمثل عبئًا بيئيًا كبيرًا على المجتمعات والنظم البيئية، يمكن معالجة هذه المشكلة من خلال تقليل كمية النفايات أو إعادة تحويلها مما يقلل من تكلفة معالجة النفايات. تقليل النفايات يكون من خلال تقليل الاعتماد على المواد أحادية الاستخدام (مثل البلاستيك والكرتون).
مباني جديدة,توفير الطاقة-مباني جديدة,"كيف يمكن الاستفادة من النفايات المنزلية والتقليل من مدافن النفايات؟
",يمكن تسميد النفايات العضوية(compost) عوضاً عن إلقاءها بالقمامة لتحويلها الى سماد طبيعي للاستفادة منه بالحديقة المنزلية أو الزراعة، بالإضافة الى تقليل كمية النفايات التي يتم نقلها للمدافن والبصمة البيئية المتعلقة بهذه العملية.
مباني جديدة,توفير الطاقة-مباني جديدة,كيف يمكن التعامل مع والاستفادة من نفايات البناء أثناء عملية الانشاء؟,يوصي المجلس الفلسطيني للأبنية الخضراء فرز 50% من نفايات البناء (وإعادة استخدامها) – يمكن فرز 3 أنواع نفايات على الأقل (مثلا حديد، بلاستيك، خشب، ورق او كرتون، أو ألواح جبس). 
مباني جديدة,توفير الطاقة-مباني جديدة,كيف يمكن الاستفادة من مخلفات الهدم؟,يمكن إعادة تدوير وإعادة تصنيع مخلفات البناء مثل الأسمنت لإعادة إنتاجه على شكل طوب اسمنتي صديق للبيئة، فمثلا في عام 2015، قامت احدى الطالبات المهندسات في غزة بإعادة تصنيع رماد الفحم الناتج عن إنتاج الطاقة في غزة على شكل طوب تم استخدامه في إعادة إعمار غزة.  
مباني جديدة,توفير الطاقة-مباني جديدة,هل تعلم أن معظم الدهانات المستخدمة بالبيوت ضارة بالصحة؟ ما السبب برأيك/ي؟,"لاحتوائها على نسبة عالية من المواد العضوية المتطايرة (VOC's) التي تعتبر من الملوثات الهوائية، فتسبب أمراض رئوية وسرطانات. فينصح باستخدام دهانات صديقة للبيئة عوضا عن الدهانات التقليدية. وان وجب استخدام الدهانات التقليدية فيجب على المشتري أن يتأكد من اللاصق على المنتج ويبحث عن ""low VOC"" أو باستشارة متخصصي مواد البناء أو البائعين."
مباني جديدة,توفير الطاقة-مباني جديدة,هل تعلم أن معظم الدهانات المستخدمة بالبيوت ضارة بالصحة؟ ما السبب برأيك/ي؟,"لاحتوائها على نسبة عالية من المواد العضوية المتطايرة (VOC's) التي تعتبر من الملوثات الهوائية، فتسبب أمراض رئوية وسرطانات. فينصح باستخدام دهانات صديقة للبيئة عوضا عن الدهانات التقليدية. وان وجب استخدام الدهانات التقليدية فيجب على المشتري أن يتأكد من اللاصق على المنتج ويبحث عن ""low VOC"" أو باستشارة متخصصي مواد البناء أو البائعين."
مباني جديدة,توفير الطاقة-مباني جديدة,كيف يمكنني معرفة إذا كان الدهان صحيّ أم لا؟,"من خلال وجود ملصق يحمل شعار ""منخفض الانبعاثات"" أو Low VOC، أو من خلال الإطلاع على جدول محتويات الدهان والإطلاع على خانة المواد العضوية المتطايرة (أو VOC) بحيث تكون أقل من 250 جزء بالمليون ويفضل أن تكون أقل من 100 جزء بالمليون (أو 100 ppm)."
مباني جديدة,توفير الطاقة-مباني جديدة,كيف يمكنني معرفة إذا كان الدهان صحيّ أم لا؟,"من خلال وجود ملصق يحمل شعار ""منخفض الانبعاثات"" أو Low VOC، أو من خلال الإطلاع على جدول محتويات الدهان والإطلاع على خانة المواد العضوية المتطايرة (أو VOC) بحيث تكون أقل من 250 جزء بالمليون ويفضل أن تكون أقل من 100 جزء بالمليون (أو 100 ppm)."
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي المواد العضوية المتطايرة؟  وما أضرارها الصحية؟,المواد العضوية المتطايرة هي مركبات عضوية تطلق على شكل غاز من كثير من المواد الصلبة أو السائلة المصنعة أو الطبيعية، وتعتبر من مصادر التلوث الكيميائي الداخلي. قد تم ربط التعرض المطوّل لتركيزات عالية من بعض المركبات العضوية المتطايرة بمجموعة واسعة من المشاكل الصحية المزمنة مثل السرطان الربو ومرض الانسداد الرئوي المزمن. ويمكن أن يؤدي التعرض قصير المدى للمركبات العضوية المتطايرة أيضًا إلى تفاعلات حادة، مثل تهيج العين والأنف والحلق. 
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي المواد العضوية المتطايرة؟  وما أضرارها الصحية؟,المواد العضوية المتطايرة هي مركبات عضوية تطلق على شكل غاز من كثير من المواد الصلبة أو السائلة المصنعة أو الطبيعية، وتعتبر من مصادر التلوث الكيميائي الداخلي. قد تم ربط التعرض المطوّل لتركيزات عالية من بعض المركبات العضوية المتطايرة بمجموعة واسعة من المشاكل الصحية المزمنة مثل السرطان الربو ومرض الانسداد الرئوي المزمن. ويمكن أن يؤدي التعرض قصير المدى للمركبات العضوية المتطايرة أيضًا إلى تفاعلات حادة، مثل تهيج العين والأنف والحلق. 
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي المواد العضوية المتطايرة؟  وما أضرارها الصحية؟," التعرض لهذه المواد مضر بعشرات الأضعاف عندما يتم التعرض لها بمكان مغلق فتسبب أمراض وسرطانات رئوية وضرر بالجهاز العصبي. من أكثر الأماكن التي يمكن أن تتعرض لها بالحياة اليومية هي منزلك، فتتواجد هذه المركبات في الدهانات، وبعض أنواع الديكورات، وأثاث المنزل الخشبي المصنع (particle board, plywood, wood glue) ، وبعض المنظفات والمطهرات، ومعطرات الجو، والمبيدات الحشرية، والتنظيف الجاف (dry cleaning) ، بالإضافة الى بعض أقلام التحديد، وفلاتر صنابير المياه. "
مباني جديدة,توفير الطاقة-مباني جديدة,ما هي المواد العضوية المتطايرة؟  وما أضرارها الصحية؟," التعرض لهذه المواد مضر بعشرات الأضعاف عندما يتم التعرض لها بمكان مغلق فتسبب أمراض وسرطانات رئوية وضرر بالجهاز العصبي. من أكثر الأماكن التي يمكن أن تتعرض لها بالحياة اليومية هي منزلك، فتتواجد هذه المركبات في الدهانات، وبعض أنواع الديكورات، وأثاث المنزل الخشبي المصنع (particle board, plywood, wood glue) ، وبعض المنظفات والمطهرات، ومعطرات الجو، والمبيدات الحشرية، والتنظيف الجاف (dry cleaning) ، بالإضافة الى بعض أقلام التحديد، وفلاتر صنابير المياه. "
مباني جديدة,توفير الطاقة-مباني جديدة,يمكن التقليل من وجود المواد العضوية باتباع النصائح,"الحرص على إبقاء الغرف خالية من الرطوبة ودرجات الحرارة العالية حيث أن هذه المركبات يزيد إطلاقها بهذه الظروف. مع الحفاظ على التهوية الجيدة خصوصاً إذا تم دهان الجدران حديثاً.
<b>
استخدام الدهانات والمنتجات الصديقة للبيئة أو التي تحتوي على كميات قليلة من المواد العضوية المتطايرة، وعدم ترك عبوات الدهانات مفتوحة بالمنزل. يمكنك البحث عن إشارة ""قليل الانبعاثات- Low VOC"" أو ""صديق للبيئة- eco-friendly"" للتعرف على هذا النوع من المنتجات، أو استشر التاجر.
<b>

 التقليل من استخدام المعطرات واستخدام الشموع المصنوعة من صمغ الصويا أو شمع النحل واستخدام نباتات داخلية تعطي رائحة عوض عن هذه المنتجات.
<b>

عند استلام الملبوسات المنظفة بطريقة الجافة (dry cleaning) يجب تركها على الأقل يوم عند مكان الغسل ثم استلامها أو إزالة الغلاف البلاستيكي عنها عند استلامها مباشرة وذلك بهدف تهويتها والتخلص من المواد العضوية الطائرة بالأخص مادة البيركلوروثيلين. 
"
مباني جديدة,البيئة-مباني جديدة,إذا تواجدت المواد العضوية بالأثاث المنزلي الخشبي المصنع، فكيف يمكن التعامل معها؟,عند شراء أثاث مصنع حديثاً (خصوصا أثاث التفصيل الذي يتم استلامه بعد تجهزيه مباشرة)، ينصح استلامه أو تخزينه مدة أسبوعين الى 3 أسابيع قبل إدخاله الى المنزل واستخدامه، وذلك للتخلص من المواد العضوية بشكل كبير في هذه الفترة. علماً بأن هذه المواد قد تبقى عالقة فترة كبيرة في الغرف المغلقة. أما في حال وجوب إدخال الأثاث الجديد إلى المنزل مباشرة فيجب الحرص على التهوية الزائدة للمنزل حتى يتم التخلص من هذه الروائح.
مباني جديدة,البيئة-مباني جديدة,إذا تواجدت المواد العضوية بالأثاث المنزلي الخشبي المصنع، فكيف يمكن التعامل معها؟,عند شراء أثاث مصنع حديثاً (خصوصا أثاث التفصيل الذي يتم استلامه بعد تجهزيه مباشرة)، ينصح استلامه أو تخزينه مدة أسبوعين الى 3 أسابيع قبل إدخاله الى المنزل واستخدامه، وذلك للتخلص من المواد العضوية بشكل كبير في هذه الفترة. علماً بأن هذه المواد قد تبقى عالقة فترة كبيرة في الغرف المغلقة. أما في حال وجوب إدخال الأثاث الجديد إلى المنزل مباشرة فيجب الحرص على التهوية الزائدة للمنزل حتى يتم التخلص من هذه الروائح.
مباني جديدة,البيئة-مباني جديدة,يوجد مواد عضوية تتطاير من فلاتر صنابير المياه، فكيف يمكن الحد منها؟,للحد من هذه الظاهرة يجب استخدام فلاتر المياه الكربونية المصنوعة من مادة الكربون لأنها تمتص المواد العضوية المتطايرة عند مرورها بالفلتر، بالإضافة إلى تنقية المياه من البكتيريا و الفيروسات والملوثات الأخرى. 
مباني جديدة,البيئة-مباني جديدة,يوجد مواد عضوية تتطاير من فلاتر صنابير المياه، فكيف يمكن الحد منها؟,للحد من هذه الظاهرة يجب استخدام فلاتر المياه الكربونية المصنوعة من مادة الكربون لأنها تمتص المواد العضوية المتطايرة عند مرورها بالفلتر، بالإضافة إلى تنقية المياه من البكتيريا و الفيروسات والملوثات الأخرى. 
مباني جديدة,البيئة-مباني جديدة,من الصعب التخلص كليًا من المواد العضوية المتطايرة VOC's ، فما هي النسبة الآمنة من تواجدها؟,إحدى الدراسات تشير إلى بدء ظهور أعراض ملحوظة مثل الغثيان والأمراض التنفسية عند تواجد نسبة 25 مليغرام من هذه المواد لكل متر مكعب (250 جزء بالمليون)، علما بأن قيمة هذه النسبة التي تظهر عليها الأعراض هي أقل بكثير للأشخاص الذين يعانون من أمراض مزمنة تنفسية مثل الربو. كما أن هناك أجهزة استشعار يمكن أن تقرأ نسبة تواجدها بالغرفة. 
مباني جديدة,البيئة-مباني جديدة,كيف يمكن تجنب اختيار مواد ومنتجات تحتوي على نسبة عالية من المواد العضوية المتطايرة خلال أو قبل عملية البدء في الإنشاء للمبنى؟,يجب على فرق العمل بالمشروع تحديد المنتجات التي تلبي شروط الاعتماد المحددة بواسطة المعايير المعترف بها ورفض أية منتجات لا تلبي المتطلبات. 
مباني جديدة,البيئة-مباني جديدة,كيف يمكن تحسين من جودة البيئة الداخلية بشكل عام وتقليل آثار المواد العضوية المتطايرة؟,"من خلال التهوية الطبيعية الجيدة واختيار وزرع نباتات مناسبة، مثلاً هنالك بعض النباتات مناسبة للرطوبة فوجودهم يخفف من العفن الذي يمكن تواجده على الأسطح وينعش الجو الداخلي للغرفة فيمكن وضعها في أماكن مثل الحمامات او المطابخ أو بعض النباتات التي تخفف من آثار المواد العضوية المتطايرة من أثاث المنزل مثل المادة العضوية المتطايرة والمسرطنة ""فورمالدهايد."" "
مباني جديدة,البيئة-مباني جديدة,كيف يمكن تحسين من جودة البيئة الداخلية بشكل عام وتقليل آثار المواد العضوية المتطايرة؟,"من خلال التهوية الطبيعية الجيدة واختيار وزرع نباتات مناسبة، مثلاً هنالك بعض النباتات مناسبة للرطوبة فوجودهم يخفف من العفن الذي يمكن تواجده على الأسطح وينعش الجو الداخلي للغرفة فيمكن وضعها في أماكن مثل الحمامات او المطابخ أو بعض النباتات التي تخفف من آثار المواد العضوية المتطايرة من أثاث المنزل مثل المادة العضوية المتطايرة والمسرطنة ""فورمالدهايد."" "
مباني جديدة,البيئة-مباني جديدة, ما هي الراحة الحرارية؟ ما أهميتها؟, الراحة الحرارية هي مدى رضى المستخدم عن البيئة الحرارية الداخلية بالغرفة أو المبنى، بالإضافة الى أنها تؤثر بشكل مباشر على الراحة النفسية للأشخاص والإنتاجية لكل شخص خاصة الموظفات/ين والطلبة. 
مباني جديدة,البيئة-مباني جديدة, ما هي الراحة الحرارية؟ ما أهميتها؟, الراحة الحرارية هي مدى رضى المستخدم عن البيئة الحرارية الداخلية بالغرفة أو المبنى، بالإضافة الى أنها تؤثر بشكل مباشر على الراحة النفسية للأشخاص والإنتاجية لكل شخص خاصة الموظفات/ين والطلبة. 
مباني جديدة,البيئة-مباني جديدة, ما هي الراحة الحرارية؟ ما أهميتها؟, الراحة الحرارية هي مدى رضى المستخدم عن البيئة الحرارية الداخلية بالغرفة أو المبنى، بالإضافة الى أنها تؤثر بشكل مباشر على الراحة النفسية للأشخاص والإنتاجية لكل شخص خاصة الموظفات/ين والطلبة. 
مباني جديدة,البيئة-مباني جديدة, ما هي الراحة الحرارية؟ ما أهميتها؟, الراحة الحرارية هي مدى رضى المستخدم عن البيئة الحرارية الداخلية بالغرفة أو المبنى، بالإضافة الى أنها تؤثر بشكل مباشر على الراحة النفسية للأشخاص والإنتاجية لكل شخص خاصة الموظفات/ين والطلبة. 
مباني جديدة,البيئة-مباني جديدة,ما هي الظروف التي تحقق الراحة الحرارية للفراغ؟,"تختلف الراحة الحرارية من طبيعة مناخ الى أخر ومن فصل الى آخر ومن شخص الى آخر بالتالي لا توجد ظروف ثابتة محدد، لكن تعتمد على عدة عوامل منها درجة حرارة الغرفة ومستوى الرطوبة النسبية، وسرعة الهواء، وعوامل شخصية مثل نوع الملابس التي يرتديها الشخص وعمليات الأيض
"
مباني جديدة,البيئة-مباني جديدة,ما هي الظروف التي تحقق الراحة الحرارية للفراغ؟,"تختلف الراحة الحرارية من طبيعة مناخ الى أخر ومن فصل الى آخر ومن شخص الى آخر بالتالي لا توجد ظروف ثابتة محدد، لكن تعتمد على عدة عوامل منها درجة حرارة الغرفة ومستوى الرطوبة النسبية، وسرعة الهواء، وعوامل شخصية مثل نوع الملابس التي يرتديها الشخص وعمليات الأيض
"
مباني جديدة,البيئة-مباني جديدة,ما هي مصادر زيادة أو تقليل درجة الحرارة بالغرفة التي تؤثر على الراحة الحرارية؟,المصادر التي ترفع درجة حرارة الغرفة هي المعدات الكهربائية مثل معدات الإضاءة وأجهزة الكمبيوتر والإشعاع الشمسي والوجود البشري. في المقابل، فإن مصادر البرودة الشائعة هي أسطح النوافذ والجدران المعزولة بشكل سيئ والجسور الحرارية في المباني.
مباني جديدة,البيئة-مباني جديدة,ما هي مصادر زيادة أو تقليل درجة الحرارة بالغرفة التي تؤثر على الراحة الحرارية؟,المصادر التي ترفع درجة حرارة الغرفة هي المعدات الكهربائية مثل معدات الإضاءة وأجهزة الكمبيوتر والإشعاع الشمسي والوجود البشري. في المقابل، فإن مصادر البرودة الشائعة هي أسطح النوافذ والجدران المعزولة بشكل سيئ والجسور الحرارية في المباني.
مباني جديدة,البيئة-مباني جديدة, كيف يمكن الحصول على الراحة الحرارية؟,يمكن القيام بتغييرات بسيطة لزيادة الراحة الحرارية في الغرفة مثل الحرص على تهوية الغرفة وتغيير الهواء بشكل منتظم في فصل الصيف، إطفاء الأنوار عندما لا يوجد حاجة منها أو الاستفادة من النور الطبيعي، إذا لم تستخدم ينصح إطفاء الأجهزة الكهربائية التي تزيد من درجة الحرارة في فصل الصيف. 
مباني جديدة,البيئة-مباني جديدة, كيف يمكن الحصول على الراحة الحرارية؟,يمكن القيام بتغييرات بسيطة لزيادة الراحة الحرارية في الغرفة مثل الحرص على تهوية الغرفة وتغيير الهواء بشكل منتظم في فصل الصيف، إطفاء الأنوار عندما لا يوجد حاجة منها أو الاستفادة من النور الطبيعي، إذا لم تستخدم ينصح إطفاء الأجهزة الكهربائية التي تزيد من درجة الحرارة في فصل الصيف. 
مباني جديدة,البيئة-مباني جديدة,"كيف أقوم بتخفيض فاتورة الكهرباء من خلال الشبابيك؟ 
", ضمان انسداد فتحات الشبابيك والأبواب يساعد في توفير الطاقة بنسبة تصل من 15-20%. وذلك من خلال استخدام مواد لإغلاق التشققات والفتحات يمكن الحصول عليها من محلات مواد البناء.