title,content,featured_img,post_type,panel
د. عفيف عقل,.,https://palgbc.org/img/board/afif-hasan.jpeg,administration,1
م. ياسر أبو شنب,,https://palgbc.org/img/board/YasserAbushanab.jpg,administration,1
السيد. محمود التكروري,مستشار اداري,https://palgbc.org/img/board/Mahmoud-Takrouri.jpeg,administration,1
السيد. نائل سعادة,مالك مكتب الاستشارات الميكانيكية والكهربائية.,https://palgbc.org/img/board/nael-sada.jpeg,administration,1
م. دانا الفار,,https://palgbc.org/img/board/dana-alfar.jpeg,administration,1
م. منصور منصور,,https://palgbc.org/img/board/mansur.jpg,administration,1
"م. آلاء فليفل
",,https://palgbc.org/img/board/AlaaFleifel.jpg,administration,1
م. سري سعادة,.,https://www.palgbc.org/panel/img/CouiDrectors/Eng. Sari Saadeh 2024-04-25.jpg,administration,1
المتحف الفلسطيني,ممثلاً بالمهندس بشار عمار,https://www.palgbc.org/panel/img/CouiDrectors/The Palestine Museum 2024-04-25.jpg,administration,1