id,titleAr,titleEn,contentAr,contentEn,newsDate,type,monthAr,monthEn,year,locationAr,locationEn,link,img
31,اتفاقية تفاهم بلدية بيتونيا,Signing memorandum of understanding MoU with the Municipality of Beitunia,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع  بلدية بيتونيا. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد ربحي دولة رئيس بلدية بيتونيا وم. وجدان الشريف المديرة التنفيذية للمجلس.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Betunia Municipality in October, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Rebhi Dawleh ( the Mayor)",2021-10-19,2, تشرين الأول,October ,2021,رام الله- بيتونيا,Ramallah -Betunia,,https://www.palgbc.org/img/news/news31.jpg
38,اتفاقية تفاهم بلدية عجة,Signing memorandum of understanding MoU with the Municipality of Ajja,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية عجة. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد ناصر عوني معالي رئيس بلدية عجة و م. وجدان الشريف المديرة التنفيذية للمجلس الفلسطيني للأبنية الخضراء.
 
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Ajja Municipality.
This MoU is part of “Somoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr Nasser Awni Maali (The mayor).
",2021-12-01,2,,December ,2021,رام الله-  عجة,Ramallah- Ajja ,,https://www.palgbc.org/img/news/news38.jpg
33,اتفاقية تفاهم بلدية يطا ,Signing memorandum of understanding MoU with the Municipality of Yatta,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية يطا. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد عيسى سميرات رئيس بلدية يطا وم. وجدان الشريف المديرة التنفيذية للمجلس.

","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Yatta Municipality in August, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Easa Ismerat ( the Mayor)",2021-08-02,2,آب ,August ,2021, يطا- رام الله,Ramallah -Yatta,,https://www.palgbc.org/img/news/news33.jpg
34,اتفاقية تفاهم بلدية برطعة ,Signing memorandum of understanding MoU with the Municipality of Barta'a,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية برطعة. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد غسان قبها رئيس بلدية برطعة و م. وجدان الشريف المديرة التنفيذية للمجلس.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Bartaa Municipality.
This MoU is part of “Somoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Ghassan Qabha ( the Mayor).
",2021-01-01,2,,,2021,برطعة- رام الله,Ramallah -Bartaa,,https://www.palgbc.org/img/news/news34.jpg
24,توقيع اتفاقية تفاهم مع بلدية بيت جالا,Signing memorandum of understanding MoU with the Municipality of Beit Jala,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية بيت جالا يوم السبت الموافق 7 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد نقولا خميس رئيس بلدية بيت جالا بحضور م. حنين داود منسقة المشروع والسيدة غادة نصر الله مديرة العلاقات العامة للبلدية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Beit Jala Municipality on Saturday, August 7th, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Nicola Khamis ( the Mayor)  in the presence of Eng. Haneen Dawoud (The project coordinator) and Ms. Ghada Nasrallah (P.R of municipality).",2021-08-07,2,آب ,August ,2021,رام الله - بيت جالا ,Ramallah - Beit Jala ,,https://www.palgbc.org/img/news/news24.jpg
30,اتفاقية تفاهم بلدية العيزرية,Signing memorandum of understanding MoU with the Municipality of Al-Aizaria,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع  بلدية العيزرية. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد عصام فرعون رئيس بلدية العيزرية وم. وجدان الشريف المديرة التنفيذية للمجلس.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with AlAizaria Municipality in October, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Isam faroun ( the Mayor)",2021-10-01,2, تشرين الأول,October ,2021,رام الله- العيزرية,Ramallah - AlAizaria ,,https://www.palgbc.org/img/news/news30.jpg
23, توقيع اتفاقية تفاهم مع بلدية خان يونس,Signing an Memorandum of Understanding (MoU) with Khan-Yunis Municipality,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية خانيونس يوم الثلاثاء الموافق 3 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد علاء الدين البطة رئيس بلدية خانيونس بحضور م. حنين داود منسقة المشروع و عماد الأغا مدير العلاقات العامة للبلدية والطاقم الهندسي للبلدية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Khan Yunis Municipality on Tuesday, August 3rd, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Alaa Batta ( the Mayor)  in the presence of Eng. Haneen Dawoud (The project coordinator), Mr. Imad Agha (P.R of municipality) and the engineering department team at the municipality.",2021-08-03,2,آب ,August ,2021,رام الله - خانيونس,Ramallah- Khan Yunis,,https://www.palgbc.org/img/news/news23.jpg
13,عقد دورة تصنيف المواد الخضراء ,Green Material Training Course,"عقد المجلس الفلسطيني للأبنية الخضراء دورته التدريبية الأولى من نوعها في فلسطين تحت عنوان ""مواد البناء الخضراء"" ضمن مشروع ""تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء"". يأتي التدريب بالتعاون مع مجلس قطر للمباني الخضراء وبتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تم تنفيذ الدورة خلال لقاءين في يومي الاثنين والأربعاء الموافق 26 و28 نيسان 2021 عبر منصة زوم الإلكترونية (zoom) .
تعد هذه الدورة الخطوة الأولى، للبدء بنشر ثقافة فكرة الأبنية الخضراء على مستوى المؤسسات العامة.  اشتملت الدورة على تعريف بالمواد الخضراء وتوصيفها في الوثائق الخاصة بالعطاءات.
شارك في الدورة 25 متدرب من مجموعة من المؤسسات العامة المحلية.","Palestine green building council (PalGBC) implemented a “Green building material” training course in cooperation with Qatar Green Building council. This training is part of Soumoud project which aims to enhance the Palestinian resistance through green buildings, Funded by Arab Fund for Economic and Social development. The training sessions took place on Monday and Wednesday (April, 26th and 28th) via Zoom.
It is important to mention that this training is one of its kind in the Palestinian market and it acts as a first step to start introducing the green building culture within the Palestinian Public organizations. The training agenda included introduction to green building materials and its standards in tenders. 25 participants from different public Palestinian organization attended the training",2021-04-28,2,نيسان ,April ,2021,فلسطين- قطر ,Palestine-Qatar,,https://www.palgbc.org/img/news/news13.jpg
14,عقد الدورة التحضيري لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئةعقد الدورة التحضيري لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة,LEED GA | LEED GA Training Course,"عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الأول من الريادة في تصميمات الطاقة والبيئة LEED GA بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 23، 25 و27 من شهر أيار 2021.
تناول التدريب التعريف بمبادئ الأبنية الخضراء ومحاور تخضير المباني، بالإضافة لنصائح لتقديم الامتحان الدولي الخاص بالأبنية الخضراء. من الجدير ذكره أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted Leadership in Energy and Environmental Design Green Associate (LEED GA) training course in cooperation with Qatar Green Building Council (QGBC) via Zoom, the training took place on May 23rd, 25th and 27th.
The training agenda included an introduction to green building principles and categories, in addition to LEED GA international exam tips. The training is part of the “Somoud” project funded by the Arab fund for economic and social development",2021-05-27,2,أيار ,May ,2021,فلسطين - قطر,Qatar- Palestine,,https://www.palgbc.org/img/news/news14.jpg
16,عقد الدورة التحضيرية لامتحان المستوى الريادة في تصميمات الطاقة والبيئة: المباني القائمة, LEED O&M | LEED O&M training course,"عقد المجلس الفلسطيني للأبنية الخضراء الدورة التحضيرية لامتحان المستوى الثاني من الريادة في تصميمات الطاقة والبيئة LEED O+M بالتعاون مع مجلس قطر للمباني الخضراء عبر منصة زوم الإلكترونية (ZOOM)، وذلك خلال الأيام 20، 22، 24 من شهر حزيران 2021.
تناول التدريب التعريف بمبادئ الأبنية الخضراء والجوانب البيئية خلال مرحلة تشغيل المبنى بالإضافة إلى نصائح تحضيرية للامتحان الدولي للأبنية الخضراء (LEED O+M). يُذكر أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted Leadership in Energy and Environmental Design - Operation & Maintenance (LEED O+M) training course in cooperation with Qatar Green Building Council (QGBC) via Zoom, the training took place on June 20th, 22nd and 24th.
The training agenda included an introduction to green building principles and categories in regards to existing buildings, in addition to LEED O+M international exam tips. The training is part of the “Somoud” project funded by the Arab fund for economic and social development",2021-06-02,2,حزيران ,June ,2021,فلسطين- قطر,Palestine - Qatar,,https://www.palgbc.org/img/news/news16.jpg
29,اتفاقية تفاهم بلدية الخليل,Signing memorandum of understanding MoU with the Municipality of Hebron,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية الخليل  - Hebron Municipality. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء بتمويل من الصندوق العربي للإنماء الاقتصادي والاجتماعي. تعني الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقع الاتفاقية السيد تيسير أبو اسنينة رئيس بلدية الخليل و م. وجدان الشريف المديرة التنفيذية للمجلس بحضور كل من الطاقم الهندسي للبلدية وطاقم المجلس.
","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Hebron Municipality on October 16th, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Tayseer Abu sneineh ( the Mayor).",2021-10-01,2, تشرين الأول,October ,2021,الخليل - رام الله,Ramallah - Hebron,,https://www.palgbc.org/img/news/news29.jpg
23, توقيع اتفاقية تفاهم مع بلدية خان يونس,Signing an Memorandum of Understanding (MoU) with Khan-Yunis Municipality,"وقع المجلس الفلسطيني للأبنية الخضراء مذكرة تفاهم مع بلدية خانيونس يوم الثلاثاء الموافق 3 آب 2021. جاء توقيع الاتفاقية ضمن مشروع ""صمود"" والذي يهدف إلى تعزيز الصمود الفلسطيني من خلال الأبنية الخضراء وتعنى الاتفاقية ببناء القدرات للبلدية بهدف زيادة مستوى الخدمات والاستدامة للبلدية ضمن التوجهات العالمية والاحتياجات المحلية وخلق الحوافز لتعزيز كفاءة المياه والطاقة.
وقعت الاتفاقية م. وجدان الشريف المديرة التنفيذية للمجلس والسيد علاء الدين البطة رئيس بلدية خانيونس بحضور م. حنين داود منسقة المشروع و عماد الأغا مدير العلاقات العامة للبلدية والطاقم الهندسي للبلدية.","Palestine Green Building Council (PalGBC) signed a Memorandum of Understanding (MoU) with Khan Yunis Municipality on Tuesday, August 3rd, 2021.
This MoU is part of “Soumoud” project activities and aims to enhance the resilience of Palestinians through green building practices. The main goal of this MoU is to build the capacities of the municipality in order to upgrade their services and sustainability towards international trends and satisfy their needs in regards to water and energy efficiency.
The MoU signed by Eng. Wijdan Sharif (PalGBC CEO) and Mr. Alaa Batta ( the Mayor)  in the presence of Eng. Haneen Dawoud (The project coordinator), Mr. Imad Agha (P.R of municipality) and the engineering department team at the municipality.",2021-08-03,2,آب ,August ,2021,رام الله - خانيونس,Ramallah- Khan Yunis,,https://www.palgbc.org/img/news/news23.jpg
17,عقد دورة تقييم الأثر البيئي ,Environmental Impact Assessment (EIA) training course,"عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان تقييم الأثر البيئي Environmental Impact Assessment (EIA) بالتعاون مع سلطة جودة البيئة الفلسطينية عقدت يوم الأربعاء الموافق 23 حزيران 2021 بمشاركة عدد من المتدربات/ين من مؤسسات عامة وخاصة وبلديات.
يذكر أن التدريب جاء ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","Palestine Green Building Council (PalGBC) conducted an Environmental Impact Assessment (EIA) training course in cooperation with Palestinian Environemtnal Quality Authority (EQA) on Wednesday, June 23rd 2021. Participated by trainees from different sectors including public, private and municipalities. 
This training is part of “Somoud” project funded by the Arab fund for economic and social development",2021-06-02,2,حزيران , June ,2021,رام الله,Ramallah ,,https://www.palgbc.org/img/news/news17.jpg
19,عقد دورة تدريبية بعنوان فحص الجهوزية الكهربائية ,Commissioning | Commissioning training course,"للمرة الأولى في فلسطين، عقد المجلس الفلسطيني للأبنية الخضراء دورة تدريبية بعنوان ""فحص الجهوزية الكهربائية للأنظمة والأجهزة الكهربائية - Commissioning""، يدربها طاقم شركة ألبن لاستشارات الاستدامة  والحلول المتكاملة في دولة الإمارات العربية المتحدة.
عقد التدريب على مدار 4 أيام تدريبية عبر المنصة الإلكترونية زوم (ZOOM).
هدف التدريب إلى تأهيل طواقم العمل في قطاع البناء إلى تطوير الخدمات المقدمة من خلال تحسين أداء الأنظمة والأجهزة الكهربائية وتقليل الحاجة لصيانتها.
يأتي هذا التدريب ضمن نشاطات مشروع ""صمود"" الممول من الصندوق العربي للإنماء الاقتصادي والاجتماعي.","For the first time in Palestine, ؛Palestine Green Building Council (PalGBC) conducted a “Commissioning” training course, the training was presented by Alpin company’s team; Alpin for integrated solutions for the built-environment in UAE.
The training included 4 sessions for 4 days in July via Zoom.
The main goal of this training is to build building sector capacities to develop and improve their services through systems and appliances performance development and minimize maintenance services. 
This training is part of “Soumoud” project funded by the Arab Fund for economic and social development.",2021-07-01,2,تموز ,July ,2021,فلسطين - الإمارات العربية المتحدة,Palestine - UAE,,https://www.palgbc.org/img/news/news19.jpg
