title_en,title_ar,content_en,content_ar,post_meta:event_date,post_meta:event_time,post_meta:month_en,post_meta:month_ar
Palestinian Arbor Day,يوم الشجرة الفلسطيني                   		,,,2023-01-15,0:00:00,Jan,كانون الثاني
Palestinian National Environment Day,اليوم الوطني للبيئة الفلسطينية,,,2023-03-05,0:00:00,Mar,اذار
"Earth hour day
",يوم ساعة الارض,,,2023-03-26,0:00:00,Mar,اذار
World Paper Free Day,يوم بلا ورق,,,2023-06-03,0:00:00,Jun,حزيران 
"world environment day
",يوم البيئة العالمي,,,2023-06-05,0:00:00,Jun,حزيران 
Arab Environment Day,يوم البيئة العربي,,,2023-10-14,0:00:00,Oct,اكتوبر
"world arbor day
",يوم الشجرة العالمي ,,,2022-11-29,0:00:00,Nov,تشرين الثاني
Palestinian National Environment Day,"اليوم
الوطني للبيئة
الفلسطينية",,,2023-03-05,0:00:00,Mar,اذار
Arab Water Day,"يوم المياه
العربي",,,2023-03-03,0:00:00,Mar,اذار
world wetlands day,اليوم العالمي للأراضي الرطبة,,,2023-02-02,0:00:00,Feb,شباط
World Wild life Day,"اليوم العالمي
للأحياء البرية",,,2023-03-03,0:00:00,Mar,اذار
Forests and trees day,اليوم الدولي للغابات والأشجار,,,2023-03-21,0:00:00,Mar,اذار
World Water Day,"يوم المياه
العالمي",,,2023-03-22,0:00:00,Mar,اذار
World Meteorological Day,"اليوم العالمي
للأرصاد الجوية",,,2023-03-23,0:00:00,Mar,اذار
Earth Hour,"يوم ساعة
الأرض",,,2023-03-25,0:00:00,Mar,اذار
World health day,يوم الصحة العالمي,,,2023-04-07,0:00:00,Apr,نيسان 
World heritage day,يوم التراث العالمي,,,2023-04-18,0:00:00,Apr,نيسان 
Earth day,يوم الكرة الأرضية,,,2023-04-22,0:00:00,Apr,نيسان 
National hygiene day,يوم النظافة الوطني,,,2023-05-07,0:00:00,May,ايار
World Migratory Bird Day,اليوم العالمي للطيور المهاجرة,,,2023-05-10,0:00:00,May,ايار
Bee Day,اليوم العالمي للنحل,,,2023-05-20,0:00:00,May,ايار
International Day for Biological Diversity ,اليوم العالمي للتنوع الحيوي,,,2023-05-22,0:00:00,May,ايار
World No Tobacco Day,اليوم العالمي للكف عن التدخين,,,2023-05-31,0:00:00,May,ايار
World Bicycle Day,اليوم العالمي للدراجة الهوائية,,,2023-06-03,0:00:00,Jun,حزيران 
End illegal fishing day,اليوم الدولي لمكافحة الصيد غير القانوني,,,2023-06-05,0:00:00,Jun,حزيران 
World oceans day,اليوم العالمي للمحيطات,,,2023-06-08,0:00:00,Jun,حزيران 
Desertification day,اليوم العالمي لمكافحة الجفاف والتصحر,,,2023-06-17,0:00:00,Jun,حزيران 
International Day to Eliminate Plastic Bags,اليوم العالمي للتخلص من الأكياس البلاستيكية,,,2023-07-03,0:00:00,Jul,تموز
World population day,يوم السكان العالمي,,,2023-07-11,0:00:00,Jul,تموز
Autumn bird migration season begins,بدء موسم هجرة الطيور الخريفية,,,2023-08-15,0:00:00,Aug,آب
The national cleaning day,يوم النظافة العالمي,,,2023-09-15,0:00:00,Sep,ايلول
يوم الأوزون,Ozone day,,,2023-09-16,0:00:00,Sep,ايلول
World Water Watch Day,يوم مراقبة المياه العالمي,,,2023-09-18,0:00:00,Sep,ايلول
Clean Up the World day,حملة نظفوا العالم,,,2023-09-19,0:00:00,Sep,ايلول
World Green Building Council,الأسبوع العالمي للأبنية الخضراء,,,2023-09-19,0:00:00,Sep,ايلول
Arab Agriculture Day,يوم الزراعة العربي,,,2023-09-27,0:00:00,Sep,ايلول
World Tourism Day,يوم السياحة العالمي,,,2023-09-27,0:00:00,Sep,ايلول
"International Day
for the habitat","اليوم العالمي
للموئل",,,2023-10-02,0:00:00,Oct,تشرين الاول
World animal day,يوم الحيوان العالمي,,,2023-10-04,0:00:00,Oct,تشرين الاول
World Space week,الاسبوع العالمي للفضاء,,,2023-10-04,0:00:00,Oct,تشرين الاول
Disaster reduction day,اليوم الدولي للحد من الكوارث الطبيعية,,,2023-10-13,0:00:00,Oct,تشرين الاول
Picking olives Season,"بدء موسم
قطف الزيتون",,,2023-10-15,0:00:00,Oct,تشرين الاول
World food day,يوم الغذاء العالمي,,,2023-10-16,0:00:00,Oct,تشرين الاول
International Day for the Eradication of Poverty,اليوم الدولي للقضاء على الفقر,,,2023-10-17,0:00:00,Oct,تشرين الاول
"International Day
for the soil","اليوم العالمي
للتربة",,,2022-11-05,0:00:00,Nov,تشرين الثاني
International Day for the Prevention of the Use of the Environment in Wars and Military Conflicts,اليوم الدولي لمنع استخدام البيئة في الحروب والصراعات العسكرية,,,2022-11-06,0:00:00,Nov,تشرين الثاني
"Volunteer Day
Global","يوم التطوع
العالمي",,,2022-12-05,0:00:00,Dec,كانون الأول
International Mountain Day,اليوم الدولي للجبال,,,2022-12-11,0:00:00,Dec,كانون الأول