tag_name_ar,tag_name_en,title_en,title_ar,file_path
المشاريع,Projects,Design energy simulation for architect guide to 3d,Design energy simulation for architect guide to 3d,https://drive.google.com/file/d/1MdkPafPV0QKsLU98Pf1CqrCYdmwy5cE4/view?ts=5a6ef89c
"مبادئ الابنية الخضراء

","Green concepts

",Environmental Design,Environmental Design,https://drive.google.com/file/d/1tB6BjzdMKpXfbjcAewnBkpqUJq_dJek3/view
"مبادئ الابنية الخضراء

","Green concepts

",Daylighting and Sunlighting ,Daylighting and Sunlighting ,https://drive.google.com/file/d/123yJ4iVDumqgkCXZO_W7MVNDmDiHZa6V/view
"مبادئ الابنية الخضراء

","Green concepts

",Sky Obstruction and Daylight,Sky Obstruction and Daylight,https://drive.google.com/file/d/1KXgSzvMKlz_vOnSx_IJKGhGYUXl2jMwb/view
"مبادئ الابنية الخضراء

","Green concepts

",The Ecology of Building Materials,The Ecology of Building Materials,https://drive.google.com/file/d/1d9kk-sm6-0fH0SCAaok_sD7Mdpvk3u0j/view
"مبادئ الابنية الخضراء

","Green concepts

","Lessons From a Bedouin: Desert Adaptive Architecture

","Lessons From a Bedouin: Desert Adaptive Architecture

",https://drive.google.com/file/d/1TaRSqv141iziw6IqTn2-qYnmUYeG288M/view
"مبادئ الابنية الخضراء

","Green concepts

",Design for Improved Solar Shading Control,Design for Improved Solar Shading Control,https://drive.google.com/file/d/1Sne9mK2Ku46aDzngDNf90gIoIHraAyDE/view
"مبادئ الابنية الخضراء

","Green concepts

","Architectural Research for Sustainable Environmental Design

","Architectural Research for Sustainable Environmental Design

",https://drive.google.com/file/d/13_6droyOBkKcpamXYUA3b5LbvkNH8E6x/view
"مبادئ الابنية الخضراء

","Green concepts

",Evaluation of Outdoor Thermal Comfort,Evaluation of Outdoor Thermal Comfort,https://drive.google.com/file/d/1IdYS1bSY4ktQrzKRFV3HIJcrkdmlJcGT/view
"مبادئ الابنية الخضراء

","Green concepts

",Sustainable Architecture,Sustainable Architecture,https://drive.google.com/file/d/1SzzdyjRrx4uwNDnZf6kfc7ASd8URnIXH/view
"مبادئ الابنية الخضراء

","Green concepts

",Comfort,Comfort,https://drive.google.com/file/d/1Rr7JxhpuwvVBx4t9IIG46PnD_hCyJAYm/view
"مبادئ الابنية الخضراء

","Green concepts

",Daylighting and Window Design,Daylighting and Window Design,https://drive.google.com/file/d/1tPgLN6iv1QscuwWsBCe5DhRDoSXHAQsq/view
"مبادئ الابنية الخضراء

","Green concepts

",The Green Guide to Specification,The Green Guide to Specification,https://drive.google.com/file/d/1XKsPFcPhVy6rxU5Ck6E9RuMfJ-kGlJnZ/view
"مبادئ الابنية الخضراء

","Green concepts

",Sustainable Solar Housing,Sustainable Solar Housing,https://drive.google.com/file/d/1nQYsDT4kM0DMpUVnMxXLzLYHjp4rofmW/view
"مبادئ الابنية الخضراء

","Green concepts

","High-rise Residential Building Enclosure

",High-rise Residential Building Enclosure,https://drive.google.com/file/d/1ytuegX9KzPQbsK0WP76NVsyxZVnbKEFt/view
"مبادئ الابنية الخضراء

","Green concepts

","Natural Ventilation in Non-Domestic Buildings

","Natural Ventilation in Non-Domestic Buildings

",https://drive.google.com/file/d/1WkPCxR_cwcDTHoPyUW0ksetVEKAJ0I3z/view
"مبادئ الابنية الخضراء

","Green concepts

","Alternative Tourist Accommodation in Venice

","Alternative Tourist Accommodation in Venice

",https://drive.google.com/file/d/1XEAa2msb39jkfpp40u70HQBsS6DbZ7dg/view
"مبادئ الابنية الخضراء

","Green concepts

","A Simplified Assessment of How tree allocation, Wind Environment, and Shading Affect Human Comfort
","A Simplified Assessment of How tree allocation, Wind Environment, and Shading Affect Human Comfort

",https://drive.google.com/file/d/1nTltiv2PZJBWjuRarHsA_6ZiDe78B4gL/view
"مبادئ الابنية الخضراء

","Green concepts

","Re-Conceiving the Built Environment of the Gulf Region
","Re-Conceiving the Built Environment of the Gulf Region

",https://drive.google.com/file/d/1hHUWKCxATDqti55rpsTHeqDtv25pVWDi/view
"مبادئ الابنية الخضراء

","Green concepts

","HEMP LIME CONSTRUCTION: A guide to building with hemp lime composites

","HEMP LIME CONSTRUCTION: A guide to building with hemp lime composites

",https://drive.google.com/file/d/1WCiAvchXd7qnuoz01AG_mTcPLwlOp8H_/view
"مبادئ الابنية الخضراء

","Green concepts

","Enhancing Public Life in a Mediterranean City: Bioclimatic Strategies for Outdoor Spaces in Valencia

","Enhancing Public Life in a Mediterranean City: Bioclimatic Strategies for Outdoor Spaces in Valencia

",https://drive.google.com/file/d/185Uwe6xbKwbAw2lT8h9rRj4yqukOeBhM/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-eQuest 3.65 Download Link

","Energy Modeling Training Course-eQuest 3.65 Download Link

",https://drive.google.com/file/d/1u4gfKhtQfibHsBH_ZezksjrUVY_t1UaH/view
"نمذجة الطاقة

","Energy Modeling

",Energy Modeling Training Course- YouTube Channel for Energy Modeling Online Course,Energy Modeling Training Course- YouTube Channel for Energy Modeling Online Course,https://drive.google.com/file/d/1qoJ01MU3zFdXSsOArKK4KoMq7C6GlAja/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-Design Energy Simulation for Architects

","Energy Modeling Training Course-Design Energy Simulation for Architects

",https://drive.google.com/file/d/1MdkPafPV0QKsLU98Pf1CqrCYdmwy5cE4/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-Energy Modeling and Computations in the Building Envelope

","Energy Modeling Training Course-Energy Modeling and Computations in the Building Envelope

",https://drive.google.com/file/d/1d1Y315oZVpidoUCzJ_bNumFoNAb4quL_/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-Energy Simulation in Building Design

","Energy Modeling Training Course-Energy Simulation in Building Design

",https://drive.google.com/file/d/1hRS-fILX_pZ_aDl7tjtvoQy-EVZbsmWd/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-ASHRAE Standard 90.1-2010

","Energy Modeling Training Course-ASHRAE Standard 90.1-2010

",https://drive.google.com/file/d/1Uax22R-CrivWqdczNctxRgJhEWTCD12j/view
"نمذجة الطاقة

","Energy Modeling

","Energy Modeling Training Course-Energy Modeling Presentation

","Energy Modeling Training Course-Energy Modeling Presentation

",https://drive.google.com/file/d/1opA9GJZUb3ELOl9E5F8I3INQ9EJYWdNk/view
"اختبار الجاهزية الكهربائية


","Building Commissioning

","Building Commissioning

","Building Commissioning

",https://drive.google.com/file/d/1MdkPafPV0QKsLU98Pf1CqrCYdmwy5cE4/view?ts=5a6ef89c
"حالات دراسية

","Case Study

","Elizabeth Fry Building Prob

","Elizabeth Fry Building Prob

",https://drive.google.com/file/d/1nS0vvrTb6UlQw99v6WQO-d54gmUnCuUy/view
"حالات دراسية

","Case Study

","Lessons Learned from The Barratt Green House

","Lessons Learned from The Barratt Green House

",https://drive.google.com/file/d/1yFsTx8uiiTeCZRJKniETMXxP6iGVfGh4/view
"حالات دراسية

","Case Study

","Learning From Built Examples in Rio De Janeiro

","Learning From Built Examples in Rio De Janeiro

",https://drive.google.com/file/d/1NMgYpgm0ptfuKKUkLwJI6Ar7Q_1Lz7jS/view
"الابنية متعادلة الطاقة


","Net Zero Energy Buildings

","Lessons Learned From The Barratt Green House

","Lessons Learned From The Barratt Green House

",https://drive.google.com/file/d/1FdCaFUBGMaBvhl1WEunvkn60qTRq6Mh8/view
"الابنية متعادلة الطاقة


","Net Zero Energy Buildings

","Hemp Lime Construction

","Hemp Lime Construction

",https://drive.google.com/file/d/1_jWLu0p1tf4kVG1CuUU8fdvv36owLFH8/view
"الابنية متعادلة الطاقة


","Net Zero Energy Buildings

","How Low Can We Go

","How Low Can We Go

",https://drive.google.com/file/d/1853BqgQVkwwJFGxjHzvEZSYeZNt5P1ec/view
"الابنية متعادلة الطاقة


","Net Zero Energy Buildings

","Sustainable Solar Housing

","Sustainable Solar Housing

",https://drive.google.com/file/d/1wP_S9g6EcuMrFqsUqcg9E-tk4Ix7Dox0/view
Energy Audit,Energy Audit,"Energy Audit Presentation
","Energy Audit Presentation

",https://drive.google.com/file/d/1bLRWaATxJ3rlQs2o1RTmuarmaCEyHlQJ/view
Energy Audit,Energy Audit,"Measurement Devices

","Measurement Devices

",https://drive.google.com/file/d/1EgwsoeEHaapUjKJEqcubMXRU6HY97051/view
اخرى,Other,"Insulation of Timber-Frame Construction

","Insulation of Timber-Frame Construction

",https://drive.google.com/file/d/1sVVCDTu0JWMsMjAMoHDT8fuPOrGfjgyK/view
اخرى,Other,"Phase Change Materials in Buildings- Virtual Thermal Mass

","Phase Change Materials in Buildings- Virtual Thermal Mass

",https://drive.google.com/file/d/1LgOnkJNanEaiSbhJZnVjGIGTxGHheA3l/view
اخرى,Other,"Subjective responses and comfort reception in transitional spaces for guests versus staff

","Subjective responses and comfort reception in transitional spaces for guests versus staff

",https://drive.google.com/file/d/1-SWPDoBtaASC08Rj8zEBfI3qr5TLDDJ8/view
اخرى,Other,"Thermal comfort and psychological adaptation as a guide for designing urban spaces

","Thermal comfort and psychological adaptation as a guide for designing urban spaces

",https://drive.google.com/file/d/1yewffETqys3vEgl6QPZ0NX60ieyct66S/view
اخرى,Other,"Thermal environment characterisation of a glass-covered semi-outdoor space subjected to natural climate mitigation

","Thermal environment characterisation of a glass-covered semi-outdoor space subjected to natural climate mitigation

",https://drive.google.com/file/d/1GyTy2f3iotVhJAdc50Xeq3dwZC7BV6Sp/view
المشاريع,Projects,rtrtrtt3356,hjhjhj656556,https://www.palgbc.org/panel/img/MembersLibrary/rtrtrtt3356 2023-04-01En.pdf